Row - DELETE LATER,Group - DELETE LATER,Plant - DELETE LATER,RGP,Treatment,Capitulum,AvgCapDia
5,1,1,511,Early Mow,1,0.9
5,1,1,511,Early Mow,2,1.9
5,1,1,511,Early Mow,3,1.75
5,1,1,511,Early Mow,4,2.3
5,1,1,511,Early Mow,5,1.6
5,1,1,511,Early Mow,6,1.65
5,1,1,511,Early Mow,7,2.2
5,1,2,512,Control,1,0.55
5,1,2,512,Control,2,1.3
5,1,2,512,Control,3,2.2
5,1,2,512,Control,4,2.1
5,1,2,512,Control,5,2.95
5,1,2,512,Control,6,2.5
5,1,2,512,Control,7,1.9
5,1,2,512,Control,8,2.25
5,1,2,512,Control,9,2.2
5,1,2,512,Control,10,2.45
5,1,3,513,Rosette Damage,1,1.75
5,1,3,513,Rosette Damage,2,1.6
5,1,3,513,Rosette Damage,3,1.7
5,1,3,513,Rosette Damage,4,2.4
5,1,3,513,Rosette Damage,5,2.65
5,1,3,513,Rosette Damage,6,2.35
5,1,3,513,Rosette Damage,7,2
5,1,3,513,Rosette Damage,8,1.2
5,1,3,513,Rosette Damage,9,2.15
5,1,3,513,Rosette Damage,10,2.3
5,1,3,513,Rosette Damage,11,1.9
5,1,3,513,Rosette Damage,12,1.4
5,1,3,513,Rosette Damage,13,2.05
5,1,4,514,Rosette Damage/Early Mow/Late Mow,1,1.8
5,1,4,514,Rosette Damage/Early Mow/Late Mow,2,1.25
5,1,4,514,Rosette Damage/Early Mow/Late Mow,3,1.7
5,1,4,514,Rosette Damage/Early Mow/Late Mow,4,1.55
5,1,4,514,Rosette Damage/Early Mow/Late Mow,5,1.7
5,1,4,514,Rosette Damage/Early Mow/Late Mow,6,1.45
5,1,4,514,Rosette Damage/Early Mow/Late Mow,7,1.8
5,1,4,514,Rosette Damage/Early Mow/Late Mow,8,1
5,3,1,531,Control,1,2.85
5,3,1,531,Control,2,1.75
5,3,1,531,Control,3,2.6
5,3,1,531,Control,4,3.45
5,3,1,531,Control,5,2.8
5,3,1,531,Control,6,2.1
5,3,1,531,Control,7,2.4
5,3,2,532,Rosette Damage/Late Mow,,
5,3,3,533,Early Mow/Late Mow,1,1.35
5,3,3,533,Early Mow/Late Mow,2,1.55
5,3,4,534,Rosette Damage/Early Mow,1,0.95
5,3,4,534,Rosette Damage/Early Mow,2,1.45
5,3,4,534,Rosette Damage/Early Mow,3,1.35
5,3,4,534,Rosette Damage/Early Mow,4,1.4
5,3,4,534,Rosette Damage/Early Mow,5,2
5,3,4,534,Rosette Damage/Early Mow,6,2.3
5,3,4,534,Rosette Damage/Early Mow,7,2.3
5,5,1,551,Control,1,2.05
5,5,1,551,Control,2,1.5
5,5,1,551,Control,3,2.35
5,5,1,551,Control,4,1.75
5,5,1,551,Control,5,3.15
5,5,1,551,Control,6,2.2
5,5,1,551,Control,7,3.4
5,5,1,551,Control,8,2.95
5,5,1,551,Control,9,2.1
5,5,1,551,Control,10,0.6
5,5,1,551,Control,11,3.45
5,5,1,551,Control,12,3.75
5,5,1,551,Control,13,2.05
5,5,1,551,Control,14,2.45
5,5,1,551,Control,15,3.25
5,5,1,551,Control,16,1.8
5,5,1,551,Control,17,2.75
5,5,1,551,Control,18,3.7
5,5,1,551,Control,19,1
5,5,2,552,Early Mow/Late Mow,1,0.75
5,5,2,552,Early Mow/Late Mow,2,0.55
5,5,2,552,Early Mow/Late Mow,3,0.8
5,5,2,552,Early Mow/Late Mow,4,1
5,5,2,552,Early Mow/Late Mow,5,0.4
5,5,2,552,Early Mow/Late Mow,6,2.2
5,5,2,552,Early Mow/Late Mow,7,2.5
5,5,2,552,Early Mow/Late Mow,8,2.2
5,5,2,552,Early Mow/Late Mow,9,1.5
5,5,2,552,Early Mow/Late Mow,10,1.4
5,5,2,552,Early Mow/Late Mow,11,1.55
5,5,2,552,Early Mow/Late Mow,12,1.65
5,5,2,552,Early Mow/Late Mow,13,0.8
5,5,2,552,Early Mow/Late Mow,14,2.5
5,5,3,553,Rosette Damage,1,1.2
5,5,3,553,Rosette Damage,2,2.25
5,5,3,553,Rosette Damage,3,2
5,5,3,553,Rosette Damage,4,2.35
5,5,3,553,Rosette Damage,5,1.5
5,5,3,553,Rosette Damage,6,1.85
5,5,3,553,Rosette Damage,7,3.1
5,5,4,554,Late Mow,1,0.5
5,7,1,571,Rosette Damage/Early Mow,1,0.5
5,7,1,571,Rosette Damage/Early Mow,2,2.35
5,7,2,572,Rosette Damage/Late Mow,,
5,7,3,573,Rosette Damage,1,1.05
5,7,3,573,Rosette Damage,2,1.25
5,7,3,573,Rosette Damage,3,2.45
5,7,3,573,Rosette Damage,4,1.6
5,7,3,573,Rosette Damage,5,1.25
5,7,3,573,Rosette Damage,6,2.35
5,7,3,573,Rosette Damage,7,2.3
5,7,4,574,Late Mow,1,0.35
5,7,4,574,Late Mow,2,0.6
5,7,4,574,Late Mow,3,0.4
5,7,4,574,Late Mow,4,1.55
5,7,4,574,Late Mow,5,1.2
5,7,4,574,Late Mow,6,1
6,2,1,621,Early Mow/Late Mow,,
6,2,2,622,Rosette Damage/Late Mow,1,0.45
6,2,3,623,Rosette Damage/Early Mow,1,1.25
6,2,3,623,Rosette Damage/Early Mow,2,1.45
6,2,3,623,Rosette Damage/Early Mow,3,2.3
6,2,3,623,Rosette Damage/Early Mow,4,2.25
6,2,4,624,Late Mow,,
6,4,1,641,Rosette Damage/Early Mow/Late Mow,1,0.95
6,4,1,641,Rosette Damage/Early Mow/Late Mow,2,1.35
6,4,1,641,Rosette Damage/Early Mow/Late Mow,3,0.9
6,4,1,641,Rosette Damage/Early Mow/Late Mow,4,1.4
6,4,1,641,Rosette Damage/Early Mow/Late Mow,5,0.95
6,4,2,642,Rosette Damage,1,1.4
6,4,2,642,Rosette Damage,2,1.85
6,4,2,642,Rosette Damage,3,1.35
6,4,2,642,Rosette Damage,4,2.8
6,4,2,642,Rosette Damage,5,2.45
6,4,2,642,Rosette Damage,6,2.9
6,4,2,642,Rosette Damage,7,1.95
6,4,2,642,Rosette Damage,8,1.5
6,4,2,642,Rosette Damage,9,2.55
6,4,3,643,Early Mow,1,1
6,4,3,643,Early Mow,2,0.95
6,4,3,643,Early Mow,3,2.85
6,4,3,643,Early Mow,4,2.4
6,4,4,644,Late Mow,,
6,6,1,661,Early Mow,1,1.15
6,6,1,661,Early Mow,2,2.35
6,6,1,661,Early Mow,3,1
6,6,1,661,Early Mow,4,1
6,6,1,661,Early Mow,5,2.25
6,6,2,662,Rosette Damage/Late Mow,,
6,6,3,663,Rosette Damage/Early Mow/Late Mow,1,1.25
6,6,3,663,Rosette Damage/Early Mow/Late Mow,2,1.45
6,6,3,663,Rosette Damage/Early Mow/Late Mow,3,1.45
6,6,4,664,Rosette Damage/Early Mow,1,0.6
6,6,4,664,Rosette Damage/Early Mow,2,1.05
6,6,4,664,Rosette Damage/Early Mow,3,0.5
6,6,4,664,Rosette Damage/Early Mow,4,0.6
6,6,4,664,Rosette Damage/Early Mow,5,1.55
6,8,4,684,Early Mow/Late Mow,1,1.05
6,8,1,681,Early Mow/Late Mow,1,0.65
6,8,4,684,Early Mow/Late Mow,2,0.6
6,8,1,681,Early Mow/Late Mow,2,0.8
6,8,4,684,Early Mow/Late Mow,3,0.65
6,8,1,681,Early Mow/Late Mow,3,0.7
6,8,2,682,Control,1,0.6
6,8,2,682,Control,2,0.85
6,8,2,682,Control,3,1.9
6,8,2,682,Control,4,1.75
6,8,2,682,Control,5,2.85
6,8,2,682,Control,6,2.45
6,8,2,682,Control,7,2.7
6,8,2,682,Control,8,2.25
6,8,2,682,Control,9,2.85
6,8,2,682,Control,10,2.75
6,8,2,682,Control,11,2.25
6,8,3,683,Early Mow,1,0.85
6,8,3,683,Early Mow,2,2.8
6,8,3,683,Early Mow,3,1.55
6,8,3,683,Early Mow,4,1.5
6,8,3,683,Early Mow,5,2.6
6,8,3,683,Early Mow,6,2.5
6,8,3,683,Early Mow,7,1.95
6,8,4,684,Rosette Damage/Early Mow/Late Mow,1,0.95
7,1,1,711,Rosette Damage,2,3.05
7,1,1,711,Rosette Damage,3,3.15
7,1,1,711,Rosette Damage,4,1
7,1,1,711,Rosette Damage,5,2
7,1,1,711,Rosette Damage,6,2
7,1,1,711,Rosette Damage,7,2.5
7,1,1,711,Rosette Damage,1,1.95
7,1,2,712,Control,2,2.4
7,1,2,712,Control,3,2.65
7,1,2,712,Control,4,2.15
7,1,2,712,Control,5,0.8
7,1,2,712,Control,6,1
7,1,2,712,Control,7,3.35
7,1,2,712,Control,8,3.05
7,1,2,712,Control,9,1.2
7,1,2,712,Control,10,1.3
7,1,2,712,Control,11,1.45
7,1,2,712,Control,12,2.05
7,1,2,712,Control,13,1.3
7,1,2,712,Control,14,1.95
7,1,2,712,Control,15,1.9
7,1,2,712,Control,16,2.35
7,1,2,712,Control,,
7,1,3,713,Early Mow/Late Mow,,
7,1,4,714,Late Mow,1,1
7,3,1,731,Early Mow/Late Mow,2,2.45
7,3,1,731,Early Mow/Late Mow,1,1.1
7,3,2,732,Early Mow,2,1
7,3,2,732,Early Mow,3,1.35
7,3,2,732,Early Mow,4,1.25
7,3,2,732,Early Mow,5,2.35
7,3,2,732,Early Mow,6,1.7
7,3,3,733,Rosette Damage,1,1.85
7,3,3,733,Rosette Damage,2,3.05
7,3,3,733,Rosette Damage,3,2.4
7,3,3,733,Rosette Damage,4,3.4
7,3,3,733,Rosette Damage,5,1.35
7,3,3,733,Rosette Damage,6,2.55
7,3,3,733,Rosette Damage,7,1.4
7,3,3,733,Rosette Damage,8,1.45
7,3,3,733,Rosette Damage,9,3.1
7,3,3,733,Rosette Damage,10,3.45
7,3,4,734,Rosette Damage/Early Mow,1,0.65
7,3,4,734,Rosette Damage/Early Mow,2,1.3
7,3,4,734,Rosette Damage/Early Mow,3,2.3
7,3,4,734,Rosette Damage/Early Mow,4,1.7
7,3,4,734,Rosette Damage/Early Mow,5,1.85
7,5,1,751,Rosette Damage/Late Mow,1,0.9
7,5,1,751,Rosette Damage/Late Mow,2,0.85
7,5,2,752,Control,1,4.5
7,5,2,752,Control,2,3.9
7,5,2,752,Control,3,2.7
7,5,2,752,Control,4,3.3
7,5,2,752,Control,5,4.5
7,5,2,752,Control,6,2.05
7,5,2,752,Control,7,2.3
7,5,2,752,Control,8,4.45
7,5,2,752,Control,9,2.3
7,5,2,752,Control,10,1.9
7,5,2,752,Control,11,2.3
7,5,3,753,Rosette Damage/Early Mow/Late Mow,1,1.2
7,5,3,753,Rosette Damage/Early Mow/Late Mow,2,1.15
7,5,4,754,Rosette Damage/Early Mow,1,0.7
7,5,4,754,Rosette Damage/Early Mow,2,0.7
7,5,4,754,Rosette Damage/Early Mow,3,1.1
7,5,4,754,Rosette Damage/Early Mow,4,1.35
7,5,4,754,Rosette Damage/Early Mow,5,2.05
7,5,4,754,Rosette Damage/Early Mow,6,2.2
7,7,1,771,Early Mow,1,1.3
7,7,1,771,Early Mow,2,2.15
7,7,1,771,Early Mow,3,1.75
7,7,2,772,Rosette Damage/Late Mow,,
7,7,3,773,Rosette Damage,1,0.9
7,7,3,773,Rosette Damage,1,1.8
7,7,3,773,Rosette Damage,2,0.8
7,7,3,773,Rosette Damage,2,1.3
7,7,3,773,Rosette Damage,3,1.6
7,7,3,773,Rosette Damage,4,0.75
7,7,3,773,Rosette Damage,5,1.3
7,7,3,773,Rosette Damage,6,2.65
7,7,3,773,Rosette Damage,7,3.35
7,7,3,773,Rosette Damage,8,2.9
7,7,3,773,Rosette Damage,9,3.05
7,7,3,773,Rosette Damage,10,3.05
8,2,1,821,Rosette Damage/Early Mow,1,0.25
8,2,1,821,Rosette Damage/Early Mow,2,1.5
8,2,2,822,Early Mow,1,0.75
8,2,2,822,Early Mow,2,0.7
8,2,2,822,Early Mow,3,1.65
8,2,2,822,Early Mow,4,1.35
8,2,2,822,Early Mow,5,1.7
8,2,3,823,Rosette Damage/Late Mow,1,1.15
8,2,3,823,Rosette Damage/Late Mow,2,1.05
8,2,4,824,Rosette Damage/Early Mow/Late Mow,1,0.7
8,2,4,824,Rosette Damage/Early Mow/Late Mow,2,1.3
8,4,1,841,Rosette Damage/Early Mow/Late Mow,1,0.7
8,4,1,841,Rosette Damage/Early Mow/Late Mow,2,1.15
8,4,1,841,Rosette Damage/Early Mow/Late Mow,3,1.2
8,4,1,841,Rosette Damage/Early Mow/Late Mow,4,1.8
8,4,2,842,Late Mow,1,0.85
8,4,2,842,Late Mow,2,1
8,4,2,842,Late Mow,3,0.65
8,4,2,842,Late Mow,4,0.8
8,4,2,842,Late Mow,5,1.9
8,4,2,842,Late Mow,6,1.75
8,4,2,842,Late Mow,7,1.95
8,4,3,843,Rosette Damage/Late Mow,,
8,4,4,844,Control,1,0.75
8,4,4,844,Control,2,0.85
8,4,4,844,Control,3,1
8,4,4,844,Control,4,2.55
8,4,4,844,Control,5,1.9
8,4,4,844,Control,6,2.95
8,4,4,844,Control,7,1.75
8,4,4,844,Control,8,2.7
8,4,4,844,Control,9,2.95
8,4,4,844,Control,10,2
8,4,4,844,Control,11,2.2
8,4,4,844,Control,12,2.45
8,4,4,844,Control,13,2.25
8,4,4,844,Control,14,2.35
8,4,4,844,Control,15,1.5
8,4,4,844,Control,16,2.4
8,6,1,861,Late Mow,1,0.35
8,6,1,861,Late Mow,2,0.5
8,6,2,862,Rosette Damage,1,0.9
8,6,2,862,Rosette Damage,2,1.1
8,6,2,862,Rosette Damage,3,1.6
8,6,2,862,Rosette Damage,4,2.25
8,6,2,862,Rosette Damage,5,2.1
8,6,2,862,Rosette Damage,6,2.75
