Block,Row,Group,Plant,Treatment,May-2,May-8,May-15,May-23,May-30,Jun-6,Jun-11,Jun-20,Jun-27,Jul-5,Jul-11,Jul-18,Jul-25,Aug-5
1,5,1,1,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,5,1,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,5,1,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,5,1,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,5,3,1,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,5,3,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,5,3,3,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,5,3,4,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,5,5,1,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,5,5,2,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,5,5,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,5,5,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,5,7,1,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,5,7,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,5,7,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,5,7,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,6,2,1,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,6,2,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,6,2,3,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,6,2,4,8. Late Mow,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,6,4,1,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,6,4,2,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,6,4,3,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,6,4,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,6,6,1,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,6,6,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,0,0,0,0,0,0,0,0
3,6,6,3,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,6,6,4,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
